mean,number_of_topics,var
863.541,5,57.676
772.147,10,62.696
750.75,15,72.179
757.919,20,77.104
781.126,25,79.068
810.013,30,91.133
864.252,35,107.087
926.594,40,112.208
984.405,45,131.235
1037.303,50,137.478
