mean,number_of_topics,var
1212.758,5,35.425
1122.307,10,33.107
1060.89,15,41.888
1029.925,20,35.757
1003.031,25,36.885
988.719,30,32.862
991.358,35,32.721
1011.591,40,30.764
1030.841,45,34.704
1070.97,50,36.084
